Week,30 yr FRM,Year
4/27/1979,10.53,1979
5/4/1979,10.60,1979
5/11/1979,10.68,1979
5/18/1979,10.73,1979
5/25/1979,10.75,1979
6/1/1979,10.90,1979
6/8/1979,11.03,1979
6/15/1979,11.05,1979
6/22/1979,11.10,1979
6/29/1979,11.10,1979
7/6/1979,11.13,1979
7/13/1979,11.08,1979
7/20/1979,11.08,1979
7/27/1979,11.08,1979
8/3/1979,11.08,1979
8/10/1979,11.08,1979
8/17/1979,11.08,1979
8/24/1979,11.10,1979
8/31/1979,11.13,1979
9/7/1979,11.20,1979
9/14/1979,11.30,1979
9/21/1979,11.35,1979
9/28/1979,11.35,1979
10/5/1979,11.35,1979
10/12/1979,11.45,1979
10/19/1979,11.75,1979
10/26/1979,12.00,1979
11/2/1979,12.80,1979
11/9/1979,12.85,1979
11/16/1979,12.80,1979
11/23/1979,12.80,1979
11/30/1979,12.90,1979
12/7/1979,12.90,1979
12/14/1979,12.90,1979
12/21/1979,12.90,1979
12/28/1979,12.90,1979
1/4/1980,12.85,1980
1/11/1980,12.90,1980
1/18/1980,12.87,1980
1/25/1980,12.89,1980
2/1/1980,12.85,1980
2/8/1980,12.85,1980
2/15/1980,12.88,1980
2/22/1980,13.03,1980
2/29/1980,13.59,1980
3/7/1980,14.00,1980
3/14/1980,15.40,1980
3/21/1980,15.70,1980
3/28/1980,16.03,1980
4/4/1980,16.35,1980
4/11/1980,16.35,1980
4/18/1980,16.35,1980
4/25/1980,16.25,1980
5/2/1980,15.90,1980
5/9/1980,14.68,1980
5/16/1980,14.15,1980
5/23/1980,13.38,1980
5/30/1980,13.20,1980
6/6/1980,13.06,1980
6/13/1980,12.85,1980
6/20/1980,12.58,1980
6/27/1980,12.35,1980
7/4/1980,12.18,1980
7/11/1980,12.23,1980
7/18/1980,12.18,1980
7/25/1980,12.18,1980
8/1/1980,12.25,1980
8/8/1980,12.25,1980
8/15/1980,12.55,1980
8/22/1980,12.80,1980
8/29/1980,12.95,1980
9/5/1980,13.03,1980
9/12/1980,13.08,1980
9/19/1980,13.25,1980
9/26/1980,13.43,1980
10/3/1980,13.60,1980
10/10/1980,13.73,1980
10/17/1980,13.78,1980
10/24/1980,13.85,1980
10/31/1980,14.00,1980
11/7/1980,14.08,1980
11/14/1980,14.18,1980
11/21/1980,14.28,1980
11/28/1980,14.28,1980
12/5/1980,14.43,1980
12/12/1980,14.83,1980
12/19/1980,14.95,1980
12/26/1980,14.95,1980
1/2/1981,14.95,1981
1/9/1981,14.80,1981
1/16/1981,14.85,1981
1/23/1981,14.85,1981
1/30/1981,15.07,1981
2/6/1981,15.00,1981
2/13/1981,15.03,1981
2/20/1981,15.20,1981
2/27/1981,15.30,1981
3/6/1981,15.40,1981
3/13/1981,15.40,1981
3/20/1981,15.40,1981
3/27/1981,15.40,1981
4/3/1981,15.40,1981
4/10/1981,15.50,1981
4/17/1981,15.65,1981
4/24/1981,15.77,1981
5/1/1981,15.82,1981
5/8/1981,16.12,1981
5/15/1981,16.64,1981
5/22/1981,16.63,1981
5/29/1981,16.80,1981
6/5/1981,16.76,1981
6/12/1981,16.69,1981
6/19/1981,16.71,1981
6/26/1981,16.62,1981
7/3/1981,16.64,1981
7/10/1981,16.79,1981
7/17/1981,16.74,1981
7/24/1981,16.88,1981
7/31/1981,17.11,1981
8/7/1981,17.13,1981
8/14/1981,17.27,1981
8/21/1981,17.26,1981
8/28/1981,17.48,1981
9/4/1981,17.79,1981
9/11/1981,18.22,1981
9/18/1981,18.27,1981
9/25/1981,18.36,1981
10/2/1981,18.28,1981
10/9/1981,18.63,1981
10/16/1981,18.53,1981
10/21/1981,18.39,1981
10/30/1981,18.44,1981
11/6/1981,18.37,1981
11/13/1981,18.02,1981
11/20/1981,17.70,1981
11/27/1981,17.21,1981
12/4/1981,16.90,1981
12/11/1981,16.94,1981
12/18/1981,16.90,1981
12/25/1981,16.95,1981
12/31/1981,17.04,1981
1/8/1982,17.30,1982
1/15/1982,17.44,1982
1/22/1982,17.61,1982
1/29/1982,17.59,1982
2/5/1982,17.56,1982
2/12/1982,17.65,1982
2/19/1982,17.66,1982
2/26/1982,17.52,1982
3/5/1982,17.29,1982
3/12/1982,17.19,1982
3/19/1982,17.12,1982
3/26/1982,17.04,1982
4/2/1982,16.95,1982
4/9/1982,16.91,1982
4/16/1982,16.93,1982
4/23/1982,16.86,1982
4/30/1982,16.81,1982
5/7/1982,16.78,1982
5/14/1982,16.63,1982
5/21/1982,16.67,1982
5/28/1982,16.63,1982
6/4/1982,16.65,1982
6/11/1982,16.70,1982
6/18/1982,16.71,1982
6/25/1982,16.73,1982
7/2/1982,16.87,1982
7/9/1982,16.93,1982
7/16/1982,16.88,1982
7/23/1982,16.75,1982
7/30/1982,16.65,1982
8/6/1982,16.55,1982
8/13/1982,16.44,1982
8/20/1982,16.21,1982
8/27/1982,15.88,1982
9/3/1982,15.59,1982
9/10/1982,15.56,1982
9/17/1982,15.38,1982
9/24/1982,15.19,1982
10/1/1982,15.13,1982
10/8/1982,14.96,1982
10/15/1982,14.60,1982
10/22/1982,14.20,1982
